/home/lihaoyang/anaconda3/envs/SRNet/lib/python3.9/site-packages/torch/functional.py:512: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /home/conda/feedstock_root/build_artifacts/libtorch_1716578970623/work/aten/src/ATen/native/TensorShape.cpp:3587.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Hidden Images Shape: torch.Size([4, 6, 14, 14])
EQLPDE(
  (u_model): DiffMLP(
    (model): Sequential(
      (0): Linear(in_features=5, out_features=100, bias=True)
      (1): ReLU()
      (2): Linear(in_features=100, out_features=100, bias=True)
      (3): ReLU()
      (4): Linear(in_features=100, out_features=100, bias=True)
      (5): ReLU()
      (6): Linear(in_features=100, out_features=100, bias=True)
      (7): ReLU()
      (8): Linear(in_features=100, out_features=100, bias=True)
      (9): ReLU()
      (10): Linear(in_features=100, out_features=100, bias=True)
      (11): ReLU()
      (12): Linear(in_features=100, out_features=1, bias=True)
    )
  )
  (pde_model): EQL(
    (layers): ModuleList(
      (0): Linear(in_features=3, out_features=8, bias=True)
      (1): Linear(in_features=9, out_features=1, bias=True)
    )
  )
)
Input data shape: 6 torch.Size([4704]) U shape: torch.Size([4, 6, 14, 14])

Train PDE Find:   0%|          | 0/5000 [00:00<?, ?it/s]/home/lihaoyang/anaconda3/envs/SRNet/lib/python3.9/site-packages/torch/autograd/graph.py:744: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /home/conda/feedstock_root/build_artifacts/libtorch_1716578970623/work/aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/lihaoyang/anaconda3/envs/SRNet/lib/python3.9/site-packages/kornia/filters/sobel.py:51: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /home/conda/feedstock_root/build_artifacts/libtorch_1716578970623/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  out = F.conv2d(padded_inp, tmp_kernel, groups=1, padding=0, stride=1)

Train PDE Find:   0%|          | 0/5000 [00:00<?, ?it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.823]
Train PDE Find:   0%|          | 1/5000 [00:00<51:03,  1.63it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.823]
Train PDE Find:   0%|          | 1/5000 [00:00<51:03,  1.63it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.823]
Train PDE Find:   0%|          | 1/5000 [00:00<51:03,  1.63it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.823]
Train PDE Find:   0%|          | 1/5000 [00:00<51:03,  1.63it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.823]
Train PDE Find:   0%|          | 1/5000 [00:00<51:03,  1.63it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.822]
Train PDE Find:   0%|          | 1/5000 [00:00<51:03,  1.63it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.822]
Train PDE Find:   0%|          | 6/5000 [00:00<07:50, 10.62it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.822]
Train PDE Find:   0%|          | 6/5000 [00:00<07:50, 10.62it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.822]
Train PDE Find:   0%|          | 6/5000 [00:00<07:50, 10.62it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.821]
Train PDE Find:   0%|          | 6/5000 [00:00<07:50, 10.62it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.821]
Train PDE Find:   0%|          | 6/5000 [00:01<07:50, 10.62it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.82] 
Train PDE Find:   0%|          | 10/5000 [00:01<12:52,  6.46it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.82]
Train PDE Find:   0%|          | 10/5000 [00:01<12:52,  6.46it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.82]
Train PDE Find:   0%|          | 10/5000 [00:01<12:52,  6.46it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.531, step_regularization=8.21, step_u_loss=0.819]
Train PDE Find:   0%|          | 10/5000 [00:01<12:52,  6.46it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.818] 
Train PDE Find:   0%|          | 13/5000 [00:01<09:21,  8.88it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.818]
Train PDE Find:   0%|          | 13/5000 [00:01<09:21,  8.88it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.818]
Train PDE Find:   0%|          | 13/5000 [00:01<09:21,  8.88it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.817]
Train PDE Find:   0%|          | 13/5000 [00:01<09:21,  8.88it/s, step_loss=1.35, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.816]
Train PDE Find:   0%|          | 13/5000 [00:01<09:21,  8.88it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.815]
Train PDE Find:   0%|          | 17/5000 [00:01<06:35, 12.61it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.815]
Train PDE Find:   0%|          | 17/5000 [00:01<06:35, 12.61it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.814]
Train PDE Find:   0%|          | 17/5000 [00:01<06:35, 12.61it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.813]
Train PDE Find:   0%|          | 17/5000 [00:02<06:35, 12.61it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.811]
Train PDE Find:   0%|          | 20/5000 [00:02<10:21,  8.01it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.53, step_regularization=8.21, step_u_loss=0.811]
Train PDE Find:   0%|          | 20/5000 [00:02<10:21,  8.01it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.529, step_regularization=8.21, step_u_loss=0.81]
Train PDE Find:   0%|          | 20/5000 [00:02<10:21,  8.01it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.529, step_regularization=8.21, step_u_loss=0.809]
Train PDE Find:   0%|          | 20/5000 [00:02<10:21,  8.01it/s, step_loss=1.34, step_pd_loss=0.405, step_pde_loss=0.529, step_regularization=8.21, step_u_loss=0.807]
Train PDE Find:   0%|          | 20/5000 [00:02<10:21,  8.01it/s, step_loss=1.33, step_pd_loss=0.405, step_pde_loss=0.529, step_regularization=8.21, step_u_loss=0.806]
Train PDE Find:   0%|          | 20/5000 [00:02<10:21,  8.01it/s, step_loss=1.33, step_pd_loss=0.405, step_pde_loss=0.529, step_regularization=8.22, step_u_loss=0.804]
Train PDE Find:   0%|          | 20/5000 [00:02<10:21,  8.01it/s, step_loss=1.33, step_pd_loss=0.405, step_pde_loss=0.528, step_regularization=8.22, step_u_loss=0.803]
Train PDE Find:   1%|          | 26/5000 [00:02<06:26, 12.88it/s, step_loss=1.33, step_pd_loss=0.405, step_pde_loss=0.528, step_regularization=8.22, step_u_loss=0.803]
Train PDE Find:   1%|          | 26/5000 [00:02<06:26, 12.88it/s, step_loss=1.33, step_pd_loss=0.405, step_pde_loss=0.528, step_regularization=8.22, step_u_loss=0.801]
Train PDE Find:   1%|          | 26/5000 [00:02<06:26, 12.88it/s, step_loss=1.33, step_pd_loss=0.405, step_pde_loss=0.528, step_regularization=8.22, step_u_loss=0.799]
Train PDE Find:   1%|          | 26/5000 [00:02<06:26, 12.88it/s, step_loss=1.33, step_pd_loss=0.405, step_pde_loss=0.528, step_regularization=8.22, step_u_loss=0.798]
Train PDE Find:   1%|          | 26/5000 [00:03<06:26, 12.88it/s, step_loss=1.32, step_pd_loss=0.405, step_pde_loss=0.527, step_regularization=8.22, step_u_loss=0.796]
Train PDE Find:   1%|          | 30/5000 [00:03<10:44,  7.71it/s, step_loss=1.32, step_pd_loss=0.405, step_pde_loss=0.527, step_regularization=8.22, step_u_loss=0.796]
Train PDE Find:   1%|          | 30/5000 [00:03<10:44,  7.71it/s, step_loss=1.32, step_pd_loss=0.405, step_pde_loss=0.527, step_regularization=8.22, step_u_loss=0.794]
Train PDE Find:   1%|          | 30/5000 [00:03<10:44,  7.71it/s, step_loss=1.32, step_pd_loss=0.405, step_pde_loss=0.527, step_regularization=8.22, step_u_loss=0.792]
Train PDE Find:   1%|          | 30/5000 [00:03<10:44,  7.71it/s, step_loss=1.32, step_pd_loss=0.405, step_pde_loss=0.527, step_regularization=8.22, step_u_loss=0.79] 
Train PDE Find:   1%|          | 30/5000 [00:03<10:44,  7.71it/s, step_loss=1.31, step_pd_loss=0.405, step_pde_loss=0.526, step_regularization=8.22, step_u_loss=0.787]
Train PDE Find:   1%|          | 30/5000 [00:03<10:44,  7.71it/s, step_loss=1.31, step_pd_loss=0.405, step_pde_loss=0.526, step_regularization=8.22, step_u_loss=0.785]
Train PDE Find:   1%|          | 30/5000 [00:03<10:44,  7.71it/s, step_loss=1.31, step_pd_loss=0.405, step_pde_loss=0.526, step_regularization=8.22, step_u_loss=0.783]
Train PDE Find:   1%|          | 36/5000 [00:03<07:05, 11.67it/s, step_loss=1.31, step_pd_loss=0.405, step_pde_loss=0.526, step_regularization=8.22, step_u_loss=0.783]
Train PDE Find:   1%|          | 36/5000 [00:03<07:05, 11.67it/s, step_loss=1.31, step_pd_loss=0.405, step_pde_loss=0.525, step_regularization=8.22, step_u_loss=0.78] 
Train PDE Find:   1%|          | 36/5000 [00:03<07:05, 11.67it/s, step_loss=1.3, step_pd_loss=0.405, step_pde_loss=0.525, step_regularization=8.22, step_u_loss=0.778]
Train PDE Find:   1%|          | 36/5000 [00:03<07:05, 11.67it/s, step_loss=1.3, step_pd_loss=0.405, step_pde_loss=0.525, step_regularization=8.22, step_u_loss=0.775]
Train PDE Find:   1%|          | 36/5000 [00:04<07:05, 11.67it/s, step_loss=1.3, step_pd_loss=0.405, step_pde_loss=0.524, step_regularization=8.22, step_u_loss=0.772]
Train PDE Find:   1%|          | 40/5000 [00:04<08:04, 10.24it/s, step_loss=1.3, step_pd_loss=0.405, step_pde_loss=0.524, step_regularization=8.22, step_u_loss=0.772]
Train PDE Find:   1%|          | 40/5000 [00:04<08:04, 10.24it/s, step_loss=1.29, step_pd_loss=0.405, step_pde_loss=0.524, step_regularization=8.22, step_u_loss=0.769]
Train PDE Find:   1%|          | 40/5000 [00:04<08:04, 10.24it/s, step_loss=1.29, step_pd_loss=0.405, step_pde_loss=0.524, step_regularization=8.22, step_u_loss=0.766]
Train PDE Find:   1%|          | 40/5000 [00:04<08:04, 10.24it/s, step_loss=1.29, step_pd_loss=0.405, step_pde_loss=0.523, step_regularization=8.22, step_u_loss=0.763]
Train PDE Find:   1%|          | 40/5000 [00:04<08:04, 10.24it/s, step_loss=1.28, step_pd_loss=0.405, step_pde_loss=0.523, step_regularization=8.22, step_u_loss=0.76] 
Train PDE Find:   1%|          | 40/5000 [00:04<08:04, 10.24it/s, step_loss=1.28, step_pd_loss=0.405, step_pde_loss=0.523, step_regularization=8.22, step_u_loss=0.757]
Train PDE Find:   1%|          | 40/5000 [00:04<08:04, 10.24it/s, step_loss=1.28, step_pd_loss=0.405, step_pde_loss=0.522, step_regularization=8.22, step_u_loss=0.753]
Train PDE Find:   1%|          | 46/5000 [00:04<05:35, 14.75it/s, step_loss=1.28, step_pd_loss=0.405, step_pde_loss=0.522, step_regularization=8.22, step_u_loss=0.753]
Train PDE Find:   1%|          | 46/5000 [00:04<05:35, 14.75it/s, step_loss=1.27, step_pd_loss=0.405, step_pde_loss=0.522, step_regularization=8.22, step_u_loss=0.749]
Train PDE Find:   1%|          | 46/5000 [00:04<05:35, 14.75it/s, step_loss=1.27, step_pd_loss=0.405, step_pde_loss=0.521, step_regularization=8.22, step_u_loss=0.745]
Train PDE Find:   1%|          | 46/5000 [00:04<05:35, 14.75it/s, step_loss=1.26, step_pd_loss=0.405, step_pde_loss=0.521, step_regularization=8.22, step_u_loss=0.741]
Train PDE Find:   1%|          | 46/5000 [00:04<05:35, 14.75it/s, step_loss=1.26, step_pd_loss=0.405, step_pde_loss=0.521, step_regularization=8.22, step_u_loss=0.737]
Train PDE Find:   1%|          | 50/5000 [00:04<07:11, 11.46it/s, step_loss=1.26, step_pd_loss=0.405, step_pde_loss=0.521, step_regularization=8.22, step_u_loss=0.737]
Train PDE Find:   1%|          | 50/5000 [00:04<07:11, 11.46it/s, step_loss=1.25, step_pd_loss=0.405, step_pde_loss=0.52, step_regularization=8.22, step_u_loss=0.733] 
Train PDE Find:   1%|          | 50/5000 [00:04<07:11, 11.46it/s, step_loss=1.25, step_pd_loss=0.405, step_pde_loss=0.52, step_regularization=8.22, step_u_loss=0.728]
Train PDE Find:   1%|          | 50/5000 [00:04<07:11, 11.46it/s, step_loss=1.24, step_pd_loss=0.405, step_pde_loss=0.519, step_regularization=8.22, step_u_loss=0.723]
Train PDE Find:   1%|          | 50/5000 [00:05<07:11, 11.46it/s, step_loss=1.24, step_pd_loss=0.405, step_pde_loss=0.519, step_regularization=8.22, step_u_loss=0.717]
Train PDE Find:   1%|          | 50/5000 [00:05<07:11, 11.46it/s, step_loss=1.23, step_pd_loss=0.405, step_pde_loss=0.518, step_regularization=8.22, step_u_loss=0.711]
Train PDE Find:   1%|          | 55/5000 [00:05<05:31, 14.92it/s, step_loss=1.23, step_pd_loss=0.405, step_pde_loss=0.518, step_regularization=8.22, step_u_loss=0.711]
Train PDE Find:   1%|          | 55/5000 [00:05<05:31, 14.92it/s, step_loss=1.22, step_pd_loss=0.405, step_pde_loss=0.518, step_regularization=8.22, step_u_loss=0.705]
Train PDE Find:   1%|          | 55/5000 [00:05<05:31, 14.92it/s, step_loss=1.22, step_pd_loss=0.405, step_pde_loss=0.517, step_regularization=8.21, step_u_loss=0.699]
Train PDE Find:   1%|          | 55/5000 [00:05<05:31, 14.92it/s, step_loss=1.21, step_pd_loss=0.405, step_pde_loss=0.517, step_regularization=8.21, step_u_loss=0.691]
Train PDE Find:   1%|          | 55/5000 [00:05<05:31, 14.92it/s, step_loss=1.2, step_pd_loss=0.405, step_pde_loss=0.516, step_regularization=8.21, step_u_loss=0.684] 
Train PDE Find:   1%|          | 59/5000 [00:05<05:11, 15.84it/s, step_loss=1.2, step_pd_loss=0.405, step_pde_loss=0.516, step_regularization=8.21, step_u_loss=0.684]
Train PDE Find:   1%|          | 59/5000 [00:05<05:11, 15.84it/s, step_loss=1.19, step_pd_loss=0.405, step_pde_loss=0.516, step_regularization=8.21, step_u_loss=0.676]
Train PDE Find:   1%|          | 59/5000 [00:05<05:11, 15.84it/s, step_loss=1.18, step_pd_loss=0.406, step_pde_loss=0.515, step_regularization=8.21, step_u_loss=0.667]
Train PDE Find:   1%|          | 59/5000 [00:06<05:11, 15.84it/s, step_loss=1.17, step_pd_loss=0.406, step_pde_loss=0.514, step_regularization=8.21, step_u_loss=0.657]
Train PDE Find:   1%|          | 62/5000 [00:06<08:40,  9.48it/s, step_loss=1.17, step_pd_loss=0.406, step_pde_loss=0.514, step_regularization=8.21, step_u_loss=0.657]
Train PDE Find:   1%|          | 62/5000 [00:06<08:40,  9.48it/s, step_loss=1.16, step_pd_loss=0.406, step_pde_loss=0.514, step_regularization=8.21, step_u_loss=0.647]
Train PDE Find:   1%|          | 62/5000 [00:06<08:40,  9.48it/s, step_loss=1.15, step_pd_loss=0.406, step_pde_loss=0.513, step_regularization=8.21, step_u_loss=0.636]
Train PDE Find:   1%|          | 62/5000 [00:06<08:40,  9.48it/s, step_loss=1.14, step_pd_loss=0.406, step_pde_loss=0.513, step_regularization=8.21, step_u_loss=0.625]
